Designator,Mid X,Mid Y,Layer,Rotation
U35,-63.7794mm,-20.5994mm,T,180
R142,-63.8302mm,-103.0224mm,T,180
L26,-64.3496mm,-108.3129mm,T,90
R135,-64.6938mm,-100.4570mm,T,90
C113,-65.2272mm,-82.3454mm,T,270
C121,-65.2272mm,-87.1171mm,T,270
C114,-65.2272mm,-73.0504mm,T,90
C115,-65.3110mm,-97.5614mm,B,360
R136,-65.3110mm,-97.5614mm,T,180
C152,-67.9704mm,-39.0794mm,T,270
R126,-68.8086mm,-97.5614mm,T,360
C111,-68.8086mm,-97.5614mm,B,180
R302,-69.1134mm,-26.1874mm,T,180
R301,-69.1134mm,-18.6944mm,T,360
R299,-69.1134mm,-24.7904mm,T,360
R298,-69.1134mm,-21.3614mm,T,180
L33,-69.1134mm,-23.0124mm,T,180
C166,-69.1134mm,-17.1704mm,T,180
C164,-69.1134mm,-19.9644mm,T,360
R134,-69.4690mm,-100.4570mm,T,90
R297,-69.5706mm,-37.6794mm,T,270
C156,-69.7778mm,-28.3195mm,T,270
C153,-70.0278mm,-31.0395mm,T,90
R133,-70.3580mm,-103.0224mm,T,180
R296,-71.0184mm,-37.6794mm,T,270
L25,-71.0284mm,-108.3129mm,T,90
R132,-71.2216mm,-100.4570mm,T,90
R295,-71.8058mm,-29.5895mm,T,270
C155,-71.8058mm,-29.5895mm,B,90
C110,-71.8882mm,-97.5614mm,B,360
R125,-71.8882mm,-97.5614mm,T,180
JP23,-72.2130mm,18.6199mm,T,180
JP5,-72.5052mm,-121.6516mm,T,360
C158,-72.8726mm,-38.3294mm,T,90
C154,-74.4474mm,-30.2395mm,B,90
R124,-74.8538mm,-97.5614mm,T,360
C109,-74.8538mm,-97.5614mm,B,180
C165,-75.1840mm,-11.7602mm,T,180
R131,-75.4634mm,-100.4570mm,T,90
R130,-76.3524mm,-103.0224mm,T,180
U14,-76.8096mm,-77.7685mm,T,90
U15,-76.8096mm,-90.6272mm,T,90
L24,-77.0642mm,-108.3129mm,T,90
R129,-77.1906mm,-100.4570mm,T,90
C108,-77.8942mm,-97.5614mm,B,360
R123,-77.8942mm,-97.5614mm,T,180
C163,-79.6290mm,-35.0569mm,B,360
C162,-79.6290mm,-33.3930mm,B,360
C161,-79.6290mm,-31.7211mm,B,360
C160,-79.6290mm,-30.3071mm,B,360
R122,-81.0082mm,-97.5614mm,T,360
C107,-81.0082mm,-97.5614mm,B,180
R128,-81.7118mm,-100.4570mm,T,90
C159,-82.2452mm,-26.0096mm,T,0
R127,-82.5754mm,-103.0224mm,T,180
L23,-83.0948mm,-108.3129mm,T,90
R120,-83.3628mm,-100.4570mm,T,90
C104,-83.8454mm,-82.3454mm,T,270
C105,-83.8454mm,-73.0504mm,T,90
C112,-83.8708mm,-87.3506mm,T,270
R121,-84.0562mm,-97.5614mm,T,180
C106,-84.0562mm,-97.5614mm,B,360
U21,-87.5792mm,-54.2036mm,T,270
R66,-88.2396mm,-97.5614mm,T,360
C75,-88.2396mm,-97.5614mm,B,180
R74,-88.9000mm,-100.4570mm,T,90
R73,-89.7890mm,-103.0224mm,T,180
L13,-90.4594mm,-108.3129mm,T,90
R72,-90.6526mm,-100.4570mm,T,90
C136,-90.8812mm,-48.8188mm,T,90
R65,-91.3192mm,-97.5614mm,T,180
C74,-91.3192mm,-97.5614mm,B,360
C137,-92.1512mm,-48.8188mm,T,90
JP1,-93.6906mm,-121.6516mm,T,360
R64,-94.2848mm,-97.5614mm,T,360
C73,-94.2848mm,-97.5614mm,B,180
R166,-94.3356mm,-54.4576mm,T,360
R165,-94.3356mm,-52.9496mm,T,360
R71,-94.8944mm,-100.4570mm,T,90
J2,-94.9960mm,28.2575mm,B,180
R70,-95.7834mm,-103.0224mm,T,180
U7,-96.2406mm,-90.6272mm,T,90
U6,-96.2406mm,-77.7685mm,T,90
L12,-96.4952mm,-108.3129mm,T,90
R69,-96.6216mm,-100.4570mm,T,90
R63,-97.3252mm,-97.5614mm,T,180
C72,-97.3252mm,-97.5614mm,B,360
R279,-99.9998mm,-53.4020mm,B,90
R267,-99.9998mm,-16.5354mm,B,90
R62,-100.4392mm,-97.5614mm,T,360
C71,-100.4392mm,-97.5614mm,B,180
R68,-101.1428mm,-100.4570mm,T,90
R280,-101.2698mm,-53.4020mm,T,90
R269,-101.2698mm,-2.8194mm,T,90
R268,-101.2698mm,-16.5354mm,T,90
R281,-101.2952mm,-39.7510mm,T,90
R67,-102.0064mm,-103.0224mm,T,180
L11,-102.5258mm,-108.3129mm,T,90
R282,-102.5398mm,-53.4020mm,B,90
R270,-102.5398mm,-16.5354mm,B,90
R60,-102.7938mm,-100.4570mm,T,90
R61,-103.4872mm,-97.5614mm,T,180
C70,-103.4872mm,-97.5614mm,B,360
